id,country,year,adm1,adm1_code,adm2,adm2_code,cases,fatal_cases
1,Brazil,1994,Roraima,14,Alto Alegre,1400050,1,1
5,Brazil,1994,Unknown,-999,Unknown,-999,18,5
2,Brazil,1995,Roraima,14,Pacaraima,1400456,1,0
3,Brazil,1995,Para,15,Conceicao Do Araguaia,1502707,1,1
4,Brazil,1995,Maranhao,21,Amarante Do Maranhao,2100600,2,1
6,Brazil,1996,Mato Grosso do Sul,50,Ponta Pora,5006606,1,1
7,Brazil,1996,Amazonas,13,Anori,1300102,1,1
8,Brazil,1996,Amazonas,13,Barcelos,1300409,1,0
9,Brazil,1996,Amazonas,13,Careiro,1301100,1,1
10,Brazil,1996,Amazonas,13,Iranduba,1301852,1,1
11,Brazil,1996,Amazonas,13,Manacapuru,1302504,2,2
12,Brazil,1996,Amazonas,13,Manaquiri,1302553,2,2
13,Brazil,1996,Amazonas,13,Manaus,1302603,1,1
14,Brazil,1996,Amazonas,13,Rio Preto Da Eva,1303569,1,1
15,Brazil,1996,Amazonas,13,Santa Isabel Do Rio Negro,1303601,2,2
16,Brazil,1996,Amazonas,13,Tabatinga,1304062,1,0
17,Brazil,1996,Amazonas,13,Tapaua,1304104,1,1
18,Brazil,1997,Rondonia,11,Porto Velho,1100205,1,1
19,Brazil,1997,Para,15,Almeirim,1500503,2,2
20,Brazil,1998,Mato Grosso,51,Marcelandia,5105580,1,1
21,Brazil,1998,Amazonas,13,Presidente Figueiredo,1303536,2,1
22,Brazil,1998,Amazonas,13,Santa Isabel Do Rio Negro,1303601,1,0
23,Brazil,1998,Roraima,14,Alto Alegre,1400050,5,2
24,Brazil,1998,Roraima,14,Iracema,1400282,1,1
25,Brazil,1998,Roraima,14,Mucajai,1400308,1,1
26,Brazil,1998,Para,15,Afua,1500305,17,3
27,Brazil,1998,Para,15,Bannach,1501253,1,1
28,Brazil,1998,Para,15,Floresta Do Araguaia,1503044,1,1
29,Brazil,1998,Para,15,Gurupa,1503101,1,0
30,Brazil,1998,Para,15,Itaituba,1503606,1,1
31,Brazil,1998,Para,15,Obidos,1505106,1,1
32,Brazil,1998,Para,15,Redencao,1506138,1,1
33,Brazil,1998,Unknown,-999,Unknown,-999,3,1
34,Brazil,1999,Roraima,14,Canta,1400175,1,0
35,Brazil,1999,Roraima,14,Uiramuta,1400704,2,2
36,Brazil,1999,Amazonas,13,Boca Do Acre,1300706,1,0
37,Brazil,1999,Amazonas,13,Itacoatiara,1301902,3,3
38,Brazil,1999,Amazonas,13,Novo Airao,1303205,1,1
39,Brazil,1999,Mato Grosso,51,Campinapolis,5102603,2,1
40,Brazil,1999,Mato Grosso,51,Nova Guarita,5108808,2,2
41,Brazil,1999,Mato Grosso,51,Peixoto De Azebedo,5106422,1,1
42,Brazil,1999,Goias,52,Alto Paraiso De Goias,5200605,3,2
43,Brazil,1999,Goias,52,Colinas Do Sul,5205521,1,0
44,Brazil,1999,Goias,52,Goias,5208905,1,1
45,Brazil,1999,Goias,52,Minacu,5213087,4,2
46,Brazil,1999,Goias,52,Niquelandia,5214606,1,0
47,Brazil,1999,Goias,52,Sao Joao D'alianca,5220009,1,0
48,Brazil,1999,Tocantins,17,Ananas,1701002,1,1
49,Brazil,1999,Tocantins,17,Figueiropolis,1707652,9,1
50,Brazil,1999,Tocantins,17,Guarai,1709302,1,1
51,Brazil,1999,Tocantins,17,Parana,1716208,1,0
52,Brazil,1999,Tocantins,17,Pedro Afonso,1716505,1,0
53,Brazil,1999,Tocantins,17,Recursolandia,1718501,2,1
54,Brazil,1999,Para,15,Afua,1500305,17,4
55,Brazil,1999,Para,15,Breves,1501808,14,2
56,Brazil,1999,Para,15,Conceicao Do Araguaia,1502707,2,1
57,Brazil,1999,Para,15,Redencao,1506138,1,1
58,Brazil,1999,Para,15,Santa Maria Das Barreiras,1506583,2,1
59,Brazil,1999,Unknown,-999,Unknown,-999,4,0
60,Brazil,2000,Acre,12,Placido De Castro,1200385,1,0
61,Brazil,2000,Amazonas,13,Manacapuru,1302504,1,0
62,Brazil,2000,Para,15,Anajas,1500701,1,1
63,Brazil,2000,Distrito Federal,53,Brasilia,5300108,2,2
64,Brazil,2000,Minas Gerais,31,Natalandia,3144375,1,1
65,Brazil,2000,Minas Gerais,31,Planura,3151602,1,1
66,Brazil,2000,Sao Paulo,35,Ouroeste,3534757,1,1
